UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MATH 3A (5.00),
UCB,Calc2,A,1,MATH 1B,MATH 3B (5.00),
UCB,MultivariableCalc,A,1,MATH 53,MATH 3C (5.00),
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 3E (3.00); MATH 3F (3.00),
UCD,DiscreteMath,A,1,ECS 020,CIS 11 (4.00),
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,CIS 33 (4.00),
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MATH 3B (5.00); MATH 3A (5.00),
UCD,Calc2,A,1,MAT 021B,MATH 3B (5.00),
UCD,Calc3,A,1,MAT 021C,MATH 3B (5.00); MATH 3C (5.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MATH 3A (5.00),
UCI,Calc2,A,1,MATH 2B,MATH 3B (5.00),
UCLA,Intro,A,1,COM SCI 31,Not Articulated,
UCLA,Calc1,A,1,MATH 31A,MATH 3A (5.00),
UCLA,Calc2,A,1,MATH 31B,MATH 3B (5.00),
UCLA,Calc3,A,1,MATH 32A,MATH 3C (5.00),
UCLA,Calc4,A,1,MATH 32B,MATH 3C (5.00),
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 3E (3.00),
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 3F (3.00),
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCM,Calc1,A,1,MATH 021,MATH 3A (5.00),
UCM,Calc2,A,1,MATH 022,MATH 3B (5.00),
UCM,VectorCalc,A,1,MATH 023,MATH 3C (5.00),
UCM,LinearAlgebra,A,1,MATH 024,MATH 3E (3.00); MATH 3F (3.00),
UCM,DataStructures,A,1,CSE 030,Not Articulated,
UCR,Intro1,A,1,CS 10A,CIS 6 (5.00),
UCR,Intro2,A,1,CS 10B,CIS 7 (4.00); CIS 33 (4.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),
UCSD,Intro,A,1,CSE 8B,CIS 33 (4.00),
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,CIS 11 (4.00),
UCSD,LinearAlgebra,A,1,MATH 18,MATH 3E (3.00),
UCSD,Calc1,A,1,MATH 20A,MATH 3A (5.00),
UCSD,Calc2,A,1,MATH 20B,MATH 3B (5.00),
UCSD,Calc3,A,1,MATH 20C,MATH 3C (5.00),
UCSB,Calc1,A,1,MATH 3A,MATH 3A (5.00),
UCSB,Calc2,A,1,MATH 3B,MATH 3B (5.00),
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 3E (3.00),
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 3F (3.00),
UCSB,Intro,A,1,CMPSC 16,Not Articulated,
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
UCSB,DiscreteMath,A,1,CMPSC 40,CIS 11 (4.00),MATH 11 (4.00)
UCSC,DataStructures,A,1,CSE 12,Not Articulated,
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated,
UCSC,Intro,A,1,CSE 30,Not Articulated,
UCSC,Calc1,A,1,MATH 19A,MATH 3A (5.00),
UCSC,Calc2,A,1,MATH 19B,MATH 3B (5.00),
